"","datetime","country","shape","city"
"240",NA,"us","light","bridgeport"
"241",NA,"us","triangle","clackamas"
"242",NA,"us","oval","san angelo"
"243",NA,"us","fireball","windsor"
"244",NA,"us","cylinder","sterling"
"245",NA,"us","other","everett"
"246",NA,"us","disk","kykotsmovi"
"247",NA,"us","circle","albany"
"248",NA,"us","egg","garden grove"
"249",NA,"us","changing","miami"
"250",NA,"us","disk","anaheim"
"251",NA,"us","triangle","troy"
"252",NA,"us","circle","farmington"
"253",NA,"us","other","prescott valley"
"254",NA,"us","circle","ashville"
"255",NA,"gb","oval","epsom (surrey) (uk/england)"
"256",NA,"us","oval","north kingstown"
"257",NA,"us","disk","groton"
"258",NA,NA,"flash","peabody-saugus"
"259",NA,"us","light","mechanicsville"
"260",NA,NA,NA,"murfeesboro/smyrna"
"261",NA,"ca","flash","hamilton (canada)"
"262",NA,"us","fireball","middletown"
"263",NA,"us","fireball","lakewood"
"264",NA,"us","circle","york"
"265",NA,"us","circle","north platte"
"266",NA,"us","triangle","waynesville"
"267",NA,"us","circle","bridgeport"
"268",NA,NA,"triangle","san francisco airport"
"269",NA,"us","sphere","san diego"
"270",NA,"us","oval","sterling heights"
"271",NA,"us","light","syracuse"
"272",NA,"us","circle","syracuse"
"273",NA,"us","light","colorado springs"
"274",NA,"us","changing","moundville"
"275",NA,"us","disk","new york city (bronx)"
"276",NA,NA,"triangle","mount albert (canada)"
"277",NA,"us","fireball","las cruces"
"278",NA,"us","light","marion"
"279",NA,"us","other","san jose"
"280",NA,"us","sphere","phoenix"
"281",NA,"us","light","yakima"
"282",NA,"us","changing","austin"
"283",NA,"us","cigar","bean station"
"284",NA,"us","light","rochester"
"285",NA,"us","cylinder","suffern"
"286",NA,"us","rectangle","rancho mirage"
"287",NA,NA,"light","clifton"
"288",NA,"us","chevron","palm harbor"
"289",NA,"us","triangle","sandusky"
"290",NA,NA,"triangle","aurburn"
"291",NA,"us","light","st. louis county"
"292",NA,"ca","light","ottawa (canada)"
"293",NA,"us","light","rittman"
"294",NA,"ca","light","harvey station (canada)"
"295",NA,"us","light","essex junction"
"296",NA,"us","circle","kenner"
"297",NA,"us","circle","drexel"
"298",NA,"us","light","hudson"
"299",NA,"us","light","grand blanc"
"300",NA,"us","circle","savage"
"301",NA,"us","sphere","warren"
"302",NA,"us","triangle","canton"
"303",NA,"ca",NA,"kingsville (canada)"
"304",NA,"us","triangle","lost creek"
"305",NA,"us","light","hudson"
"306",NA,"us","egg","jupiter"
"307",NA,"us","circle","brighton"
"308",NA,"au",NA,"alice springs  (nt&#44 australia)"
"309",NA,"us","light","minnetonka"
"310",NA,"us","fireball","otto"
"311",NA,NA,"fireball","copenhagen (denmark)"
"312",NA,"us","sphere","kewanee"
"313",NA,"us","sphere","kewanee"
"314",NA,"us","sphere","albuquerque"
"315",NA,"us","triangle","jackson"
"316",NA,"us","chevron","riverside"
"317",NA,NA,"triangle","hot springs and custer"
"318",NA,"us",NA,"new york city (brooklyn)"
"319",NA,"us",NA,"huntington"
"320",NA,"us","formation","bismarck"
"321",NA,"us","light","damascus"
"322",NA,NA,"sphere","hafnarfjordur (iceland)"
"323",NA,NA,NA,"esl&ouml;&#44 scania (sweden)"
"324",NA,"us","other","montara"
"325",NA,"us","cigar","vega baja (puerto rico)"
"326",NA,"us","light","mount carmel"
"327",NA,"us","sphere","highland"
"328",NA,"us","sphere","highland"
"329",NA,"us","sphere","bar harbor (bar island crossover)"
"330",NA,"us","fireball","elk grove"
"331",NA,"us","light","montgomery"
"332",NA,"ca","triangle","milton (canada)"
"333",NA,"us","light","los angeles"
"334",NA,NA,"unknown","somerset?"
"335",NA,"us","oval","three rivers"
"336",NA,"us","light","canby"
"337",NA,"ca","disk","parry sound (near) (canada)"
"338",NA,"us","oval","portville"
"339",NA,"us","oval","portville"
"340",NA,"us","oval","portville"
"341",NA,"us","oval","portville"
"342",NA,"us","other","kirbyville (due south of)"
"343",NA,"us","cigar","winnemucca"
"344",NA,"us","triangle","ashland"
"345",NA,"us","light","augusta"
"346",NA,"us","light","montgomery"
"347",NA,"us","light","eureka springs"
"348",NA,NA,"disk","parker&#39s lake"
"349",NA,"us","disk","addison (i-355 and us 20 (lake st.)"
"350",NA,"gb","diamond","london (uk/england)"
"351",NA,"us","light","watertown"
"352",NA,"us","light","elverta"
"353",NA,"gb","changing","dolgellau (uk/wales)"
"354",NA,"us","light","whittier"
"355",NA,"us","light","somerset"
"356",NA,"us","other","fairbanks"
"357",NA,"us","light","denver"
"358",NA,"us","teardrop","columbia"
"359",NA,"us","triangle","grass valley"
"360",NA,"us","teardrop","lima"
"361",NA,"us","fireball","springfield"
"362",NA,"us","sphere","reno"
"363",NA,"us","cylinder","randolph"
"364",NA,"us","fireball","dallas"
"365",NA,"us",NA,"san diego"
"366",NA,"us","circle","austin"
"367",NA,"us","egg","new york city (manhattan)"
"368",NA,"us","sphere","truckee"
"369",NA,NA,"fireball","fort knox"
"370",NA,"us","circle","newaygo"
"371",NA,NA,"cigar","nebraska (above?&#44 or above south dakota)"
"372",NA,"us","light","placerville"
"373",NA,"us","unknown","frederick"
"374",NA,"us","disk","bloomington"
"375",NA,"us","chevron","independence"
"376",NA,"us","triangle","honolulu"
"377",NA,"us","rectangle","los angeles"
"378",NA,"us","light","dallas"
"379",NA,"us","other","pitman"
"380",NA,"us","light","san jose"
"381",NA,NA,"light","nuevo laredo (mexico)"
"382",NA,"us","formation","salinas"
"383",NA,"us","circle","arroyo grande"
"384",NA,"us","rectangle","fresno"
"385",NA,NA,"light","strongsvilles"
"386",NA,"us","fireball","laredo"
"387",NA,"us","sphere","eastsound"
"388",NA,"us","formation","lake worth"
"389",NA,"us","light","williamsville"
"390",NA,"gb","formation","cannock (uk/england)"
"391",NA,"us","light","holiday"
"392",NA,"us","circle","eagan"
"393",NA,NA,"circle","siloam sprngs"
"394",NA,NA,"formation","canyonlands np"
"395",NA,"us","light","lake point"
"396",NA,NA,"light","pearl harbor"
"397",NA,"us","light","peoria"
"398",NA,"us","formation","buckeye"
"399",NA,"us","light","casa grande"
"400",NA,"us","triangle","tempe"
"401",NA,"us","light","mobile"
